id.1,organization_id,age,gender,size,coat,tags,name_x,description,status,status_changed_at,published_at,distance,breeds.primary,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
49799665,TX1818,Baby,Female,Medium,,[],gd Nyx,You can fill out an adoption application online on our official website.You must fill out a Companion Pet application found...,adopted,11/15/20 21:35,11/15/20 21:35,28.9405,Golden Retriever,,TRUE,FALSE,FALSE,FALSE,Pipe Creek,78063,49799665,TX1818,A Doggie 4 You
49799666,TX1818,Adult,Male,Small,,[],Rogue,You can fill out an adoption application online on our official website.Bella and her three sons were owner surrendered when...,adopted,11/15/20 21:35,11/15/20 21:35,28.9405,Yorkshire Terrier,,TRUE,TRUE,FALSE,FALSE,Pipe Creek,78063,49799666,TX1818,A Doggie 4 You
49798311,TX1818,Young,Male,Small,,[],Todd,You can fill out an adoption application online on our official website.Meet the baby saved by a good samaritan last...,adopted,11/15/20 19:04,11/15/20 19:04,28.9405,Pomeranian,,TRUE,TRUE,FALSE,TRUE,Pipe Creek,78063,49798311,TX1818,A Doggie 4 You
49798148,TX1818,Young,Male,Small,,[],O'Ryan,You can fill out an adoption application online on our official website.O&amp;#39;Ryan&amp;#39;s mom is a registered Pomeranian and dad is...,adopted,11/15/20 18:33,11/15/20 18:33,28.9405,Pomeranian,,TRUE,FALSE,FALSE,FALSE,Pipe Creek,78063,49798148,TX1818,A Doggie 4 You
49794961,TX1207,Young,Female,Medium,,[],Sophia,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:53,11/15/20 2:53,16.6177,Jack Russell Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794961,TX1207,San Antonio Great Dane Rescue
49794909,TX1207,Young,Female,Small,,[],Nadia,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Chihuahua,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794909,TX1207,San Antonio Great Dane Rescue
49794910,TX1207,Young,Female,Medium,,[],Salem,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Jack Russell Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794910,TX1207,San Antonio Great Dane Rescue
49794908,TX1207,Young,Female,Small,,[],Rylee,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794908,TX1207,San Antonio Great Dane Rescue
49794906,TX1207,Young,Male,Medium,,[],Newman,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794906,TX1207,San Antonio Great Dane Rescue
49794903,TX1207,Young,Female,Medium,,[],Sage,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Jack Russell Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794903,TX1207,San Antonio Great Dane Rescue
49794907,TX1207,Young,Female,Medium,,[],Netta,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Boxer,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794907,TX1207,San Antonio Great Dane Rescue
49794904,TX1207,Young,Male,Medium,,[],Newton,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Retriever,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794904,TX1207,San Antonio Great Dane Rescue
49794901,TX1207,Adult,Female,Large,,[],Dorinda,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Redbone Coonhound,,TRUE,TRUE,FALSE,TRUE,Helotes,78023,49794901,TX1207,San Antonio Great Dane Rescue
49794902,TX1207,Young,Male,Small,,[],Nemo,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Terrier,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794902,TX1207,San Antonio Great Dane Rescue
49794905,TX1207,Young,Female,Medium,,[],Nori,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Collie,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794905,TX1207,San Antonio Great Dane Rescue
49794898,TX1207,Young,Female,Medium,,[],Nola,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Collie,,TRUE,FALSE,FALSE,TRUE,Helotes,78023,49794898,TX1207,San Antonio Great Dane Rescue
49794900,TX1207,Adult,Female,Extra Large,,[],Dali,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Great Dane,,TRUE,TRUE,FALSE,TRUE,Helotes,78023,49794900,TX1207,San Antonio Great Dane Rescue
49794899,TX1207,Adult,Female,Small,,[],Dessie,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/15/20 2:37,11/15/20 2:37,16.6177,Chihuahua,,TRUE,TRUE,FALSE,TRUE,Helotes,78023,49794899,TX1207,San Antonio Great Dane Rescue
49793301,TX364,Young,Female,Small,,[],Rose,Welcome Rose to CCPAL Rescue.  She is a beautiful 16-week old Chihuahua mix pup.  She came in from a hoarder...,adopted,11/16/20 2:31,11/14/20 22:47,40.7002,Chihuahua,,TRUE,TRUE,FALSE,TRUE,Bandera,78003,49793301,TX364,Cowboy Capital Pet Assistance League Inc.
49793072,TX364,Young,Male,Small,,[],Charlie,Welcome Charlie to CCPAL Rescue.  Charlie is 2 years old.  He is a Rat Terrier/Italian Greyhound is our best guess....,adopted,11/16/20 2:12,11/14/20 22:19,40.7002,Rat Terrier,,TRUE,TRUE,FALSE,TRUE,Bandera,78003,49793072,TX364,Cowboy Capital Pet Assistance League Inc.
49789753,TX1818,Baby,Female,Small,,[],Gwen,You can fill out an adoption application online on our official website.We are accepting applications only! Please do not call....,adopted,11/14/20 16:42,11/14/20 16:42,28.9405,Shih Tzu,,TRUE,TRUE,TRUE,TRUE,Pipe Creek,78063,49789753,TX1818,A Doggie 4 You
49786656,TX1069,Baby,Female,Small,,[],Hayley,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/14/20 2:19,11/14/20 2:19,74.209,Australian Cattle Dog / Blue Heeler,,TRUE,FALSE,FALSE,TRUE,Austin,78703,49786656,TX1069,Homeward Bound Dog Rescue
49786651,TX1069,Young,Male,Medium,,[],Skip,"** This dog is in a foster home in San Antonio, TX. Prospective adopters must be able to travel to...",adopted,11/14/20 2:19,11/14/20 2:19,74.209,Labrador Retriever,,TRUE,TRUE,FALSE,TRUE,Austin,78703,49786651,TX1069,Homeward Bound Dog Rescue
